dz,density,BBA,delA
0.02,300,0.454098563643846,0
0.02,400,0.411493561823858,-0.042605001819988
0.02,500,0.363815725510966,-0.09028283813288
0.02,600,0.308652887354551,-0.145445676289295
0.02,700,0.243592444275649,-0.210506119368196
0.02,800,0.167754550109488,-0.286344013534357
0.02,900,0.090287622652063,-0.363810940991783
0.04,300,0.562310726235932,0
0.04,400,0.521485713010411,-0.04082501322552
0.04,500,0.474813408355584,-0.087497317880348
0.04,600,0.417659031058699,-0.144651695177232
0.04,700,0.342582593098655,-0.219728133137276
0.04,800,0.237159507886003,-0.325151218349929
0.04,900,0.096506368852835,-0.465804357383096
0.06,300,0.610846105647643,0
0.06,400,0.572948307431173,-0.037897798216469
0.06,500,0.529839501607757,-0.081006604039885
0.06,600,0.476397283424994,-0.134448822222649
0.06,700,0.403404764503217,-0.207441341144425
0.06,800,0.29060759970063,-0.320238505947013
0.06,900,0.146550404048026,-0.464295701599616
0.08,300,0.637717699615923,0
0.08,400,0.602041422500719,-0.035676277115203
0.08,500,0.561898030200072,-0.075819669415851
0.08,600,0.512168137039433,-0.12554956257649
0.08,700,0.443186486478402,-0.19453121313752
0.08,800,0.330931186957286,-0.306786512658637
0.08,900,0.113085308539133,-0.52463239107679
0.1,300,0.654468196619306,0
0.1,400,0.620403244832642,-0.034064951786664
0.1,500,0.582523086048735,-0.071945110570571
0.1,600,0.535864057597801,-0.118604139021505
0.1,700,0.47081809769858,-0.183650098920727
0.1,800,0.361758415423718,-0.292709781195588
0.1,900,0.121928174310476,-0.53254002230883
0.12,300,0.665744998790759,0
0.12,400,0.632866275765047,-0.032878723025712
0.12,500,0.596710878029701,-0.069034120761058
0.12,600,0.552511932518345,-0.113233066272415
0.12,700,0.490921864953228,-0.174823133837531
0.12,800,0.3858152658704,-0.279929732920359
0.12,900,0.130772702135217,-0.534972296655542
0.15,300,0.676937199611976,0
0.15,400,0.645317452061024,-0.031619747550952
0.15,500,0.6110503099557,-0.065886889656276
0.15,600,0.569660127555698,-0.107277072056278
0.15,700,0.512309814241206,-0.16462738537077
0.15,800,0.413131052478138,-0.263806147133838
0.15,900,0.143776056592302,-0.533161143019673
0.18,300,0.684225117486127,0
0.18,400,0.653467153576308,-0.030757963909818
0.18,500,0.620532241644727,-0.063692875841399
0.18,600,0.581199780315663,-0.103025337170464
0.18,700,0.527149497517174,-0.157075619968953
0.18,800,0.433300285899128,-0.250924831586999
0.18,900,0.156259935613483,-0.527965181872644
0.2,300,0.687772315498754,0
0.2,400,0.657444409059774,-0.03032790643898
0.2,500,0.625189199501853,-0.062583115996901
0.2,600,0.586933282673746,-0.100839032825008
0.2,700,0.534676619540548,-0.153095695958207
0.2,800,0.443976098257403,-0.243796217241352
0.2,900,0.164231753964666,-0.523540561534089
0.25,300,0.693899330163312,0
0.25,400,0.664326206335059,-0.029573123828253
0.25,500,0.63329580468717,-0.060603525476142
0.25,600,0.597032814367566,-0.096866515795747
0.25,700,0.548227550025762,-0.14567178013755
0.25,800,0.464094370897778,-0.229804959265534
0.25,900,0.182823713421448,-0.511075616741864
0.3,300,0.697713152426955,0
0.3,400,0.668612410227548,-0.029100742199407
0.3,500,0.638378059380299,-0.059335093046656
0.3,600,0.603455288649023,-0.094257863777931
0.3,700,0.557078635273743,-0.140634517153212
0.3,800,0.477993719367909,-0.219719433059046
0.3,900,0.199488481730275,-0.49822467069668
